Sequence,Door Ref,Location,Quantity,Type,Core Type,Fire Rating,Acoustic Rating,Threshold Seal Type,Doorset / Leaf / Frame,Configuration,Master Leaf Width,SO H,SO W,OF H,OF W,S/O Wall Thickness,Frame Material,Frame Finish,Frame Type,Anti Barricade / Emergency Stops,Architrave Material/Finish,Arc Width,Arc Depth,Door Facing,Door Finish,Door Colour,Lipping Material,Door Action,Door Undercut,Aperture,Aperture Width,Aperture Height,Vistamatic Supply Type,Vistmatic Hardware Side 1,Vistamatic Hardware Side 2,Bead Type,Bead Material,LW Glass Type,Hinge Supply Type,Hinge Fitting,Hinge Type,Hinge Configuration,Handing,Lock Supply / Prep,Lock Fitting,Lock Type 1,Lock Height to Spindle 1,Spindle Prep,Cylinder Prep,Lock Type 2,Lock Height to Spindle 2,Closers / Floor Springs,Flush Bolt Supply/Prep,Specials,Lead Lining Code,Overpanel Details,Screen Details,Air Transfer Grille Requirement,Air Transfer Grille Size,Air Transfer Grille Position,Door Edge Protection Type,Door Edge Protection Position,Kick Plates,PVC Face Protection,Wiring Prep,Free Issue Cable Loop Prep,Fire ID Disc,Ironmongery Pack Ref,Comments
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,0,LAJ Std 950 unless advised,,,,,,,,,,,,,,,,,,
